PIGMENT - C.I. NAME	PIGMENT - CHEMICAL NAME	PAINT - MARKETING NAME	MANUFACTURER	CODE	Tr	St	VR	Gr	Bl	 Df	HA	HS	Lf	
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin crimson	Utrecht	147	4	3	48	0	2	2	22	-15	1	5
PR83	1-2-dihydroxyanthraquinone lake (1868)	carmine [hue]	Holbein	211	4	2	47	0	3	2	22	-9	1	4
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin crimson	Daniel Smith	1	4	3	61	1	4	1	25	-10	1	6
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin crimson	Rowney Artists	515	3	3	59	0	1	2	25	-8	1	4
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin crimson	M. Graham	10	4	4	55	0	1	4	26	-10	1	6
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin crimson	Winsor & Newton	2	4	3	59	0	3	2	26	-13	1	5
PR83	1-2-dihydroxyanthraquinone lake (1868)	alizarin violet lake	Sennelier	940	4	2	55	1	4	3	337	-2	1	3
PR88	thioindigo violet (1905; 1956)	permanent violet	Daniel Smith	74	2	4	68	1	2	1	3	-16	6	7
PR88	thioindigo violet (1905; 1956)	garnet lake	MaimeriBlu	181	3	4	62	0	3	4	356	-10	6	6
PR88	thioindigo violet (1905; 1956)	thioindigo violet - [discontinued in 2005]	Winsor & Newton	231	4	4	64	0	3	1	357	-11	6	6
PR9	naphthol AS red (1920)	permanent red deep - [discontinued in 2005]	Lukas	1097	2	3	46	0	3	4	33	-3	1	4
PV1+PV10 - +PV14+PB15	rhodamine violet + cobalt violet + copper phthalocyanine	mauve - [discontinued in 1994]	Winsor & Newton	 -	1	4	70	0	2	3	311	8	4	5
PV1+PV39	rhodamine violet + triphenylmethane violet	red violet - [discontinued in 2005]	Sennelier	905	1	3	69	0	3	0	320	6	3	3
PV11+PR83	methyl violet + 1-2-dihydroxy- - anthraquinone lake	bright rose	Holbein	370	2	3	51	1	3	1	351	-11	3	3
PV14	cobalt phosphate (1859)	cobalt violet light	Holbein	110	2	0	42	3	3	1	313	10	8	8
PV14	cobalt phosphate (1859)	cobalt violet	Rembrandt	539	4	0	48	3	2	1	318	8	8	8
PV14	cobalt phosphate (1859)	cobalt violet deep	Daniel Smith	30	4	0	53	3	3	2	318	-6	8	8
PV14	cobalt phosphate (1859)	cobalt violet deep	Utrecht	176	4	0	40	3	2	1	319	4	8	8
PV14	cobalt phosphate (1859)	cobalt violet	Winsor & Newton	192	2	0	40	4	2	2	328	-19	8	8
PV14	cobalt phosphate (1859)	cobalt violet	DaVinci	236	1	0	35	4	1	0	329	7	8	8
PV14	cobalt phosphate (1859)	cobalt magenta	Rowney Artists	417	2	0	44	3	3	1	332	12	8	8
PV14	cobalt phosphate (1859)	cobalt violet	Blockx	331	2	0	39	4	0	0	333	10	8	8
PV14+PB28	cobalt phosphate + cobalt aluminium oxide	cobalt violet deep	DaVinci	237	1	0	34	3	1	1	321	4	8	8
PV14+PB28	cobalt phosphate + cobalt aluminium oxide	cobalt violet - [discontinued in 2005]	Winsor & Newton	88	3	0	30	1	1	1	327	2	7	8
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet [BS]	M. Graham	193	1	3	70	2	3	2	296	-9	8	7
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet	Winsor & Newton	221	4	2	56	2	2	1	303	2	8	7
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet	Daniel Smith	57	2	1	55	2	3	2	304	4	8	7
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet	Old Holland	199	4	1	48	2	3	2	304	6	8	6
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet	Rembrandt	507	4	1	54	2	3	2	306	3	8	6
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet	Rowney Artists	419	4	1	60	1	3	1	306	3	8	6
PV15	sodium aluminium sulfosilicate [blue violet shade] (1878)	ultramarine violet	MaimeriBlu	440	2	2	54	1	3	2	307	11	8	6
PV15	sodium aluminium sulfur silicate [red violet shade] (1878)	ultramarine red	Daniel Smith	52	3	1	47	1	3	2	330	-10	8	7
PV15+PB29		ultramarine violet [BS]	Blockx	234	4	1	64	1	3	1	293	-11	8	8
PV15+PV23	sodium polysulfide aluminosilicate + dioxazine violet	permanent violet	Utrecht	172	4	2	66	0	3	2	307	5	6	6
PV16	manganese ammonium pyrophosphate (1868)	manganese violet	Daniel Smith	38	3	2	62	2	3	2	327	1	8	8
PV16	manganese ammonium pyrophosphate (1868)	mineral violet	MaimeriBlu	460	0	3	64	1	3	1	329	2	8	8
PV16	manganese ammonium pyrophosphate (1868)	permanent mauve	Winsor & Newton	491	2	1	68	4	1	2	332	3	8	8
PV16	manganese ammonium pyrophosphate (1868)	manganese violet	DaVinci	254	2	1	60	2	1	1	332	7	8	8
PV16	manganese ammonium pyrophosphate (1868)	manganese violet - blue	Old Holland	196	3	0	48	3	3	0	334	4	8	5
PV19	beta quinacridone (1958)	permanent magenta - [discontinued 2005]	Winsor & Newton	73	3	4	61	0	3	2	1	-18	8	8
PV19	beta quinacridone (1958)	permanent magenta	Rowney Artists	409	3	3	60	0	2	4	1	-20	8	8
PV19	beta quinacridone (1958)	quinacridone violet	M. Graham	158	4	4	63	0	2	2	3	-18	8	8
PV19	beta quinacridone (1958)	permanent magenta	Winsor & Newton	489	3	4	62	0	3	3	3	-19	8	8
PV19	beta quinacridone (1958)	permanent red violet	Rembrandt	567	3	4	60	0	3	0	6	-12	8	8
PV19	beta quinacridone (1958)	quinacridone violet	Daniel Smith	89	2	4	65	0	2	3	7	-24	8	8
PV19	gamma quinacridone (1958)	quinacridone rose	Daniel Smith	76	3	3	47	0	4	3	12	-7	7	8
PV19	gamma quinacridone (1958)	permanent rose (quinacridone)	DaVinci	182	2	3	46	1	3	2	12	-9	6	8
PV19	gamma quinacridone (1958)	quinacridone rose	Rembrandt	366	3	3	50	0	4	3	15	-20	6	7
PV19	gamma quinacridone (1958)	primary red - magenta	MaimeriBlu	256	3	3	45	0	2	4	16	-9	7	8
PV19	gamma quinacridone (1958)	royal purple lake	Old Holland	184	3	2	52	0	3	2	16	-15	7	7
PV19	gamma quinacridone (1958)	permanent rose	Winsor & Newton	75	4	3	49	0	2	3	19	-16	7	8
PV19	gamma quinacridone (1958)	permanent rose	Rowney Artists	537	3	2	47	0	3	1	19	-17	6	6
PV19	gamma quinacridone (1958)	quinacridone red	Daniel Smith	73	2	4	54	0	4	1	21	-12	7	8
PV19	gamma quinacridone (1958)	ruby red	Schmincke	351	3	2	53	0	4	3	23	-14	7	8
PV19	gamma quinacridone (1958)	quinacridone rose	M. Graham	156	4	4	55	1	2	1	24	-17	7	8
PV19	gamma quinacridone (1958)	rose lake	MaimeriBlu	182	2	4	52	0	3	4	25	-18	7	8
PV19	gamma quinacridone (1958)	carmine (quinacridone)	DaVinci	225	3	4	63	2	3	2	25	-13	6	7
PV19	gamma quinacridone (1958)	red rose deep (quinacridone)	DaVinci	276	3	4	57	1	3	3	26	-23	6	7
PV19	gamma quinacridone (1958)	alizarin crimson (quinacridone)	DaVinci	202	2	4	59	1	2	2	27	-17	6	7
PV19	beta quinacridone (1958)	quinacridone violet	Utrecht	4	3	3	58	0	2	0	356	-15	8	8
PV19+PY97	gamma quinacridone + arylide yellow FGL	rose dore	Winsor & Newton	89	3	3	38	0	4	4	28	-6	5	5
PV23	dioxazine violet (1952)	permanent mauve	Rowney Artists	413	4	2	72	0	3	1	304	4	5	6
PV23	dioxazine violet (1952)	winsor violet (dioxazine)	Winsor & Newton	213	3	3	71	0	2	2	306	-1	7	7
PV23	dioxazine violet (1952)	permanent violet bluish	MaimeriBlu	463	2	4	71	0	2	4	306	2	5	6
PV23	dioxazine violet (1952)	mauve	Schmincke	476	3	3	70	0	3	1	306	0	3	6
PV23	dioxazine violet (1952)	carbazole violet	Daniel Smith	35	2	4	69	0	3	1	308	-2	7	7
PV23	dioxazine violet (1952)	dioxazine purple	Utrecht	8	4	2	67	0	3	1	310	7	6	6
PV23	dioxazine violet (1952)	dioxazine purple - [discontinued in 2000]	M. Graham	100	2	4	66	0	2	3	312	2	6	7
PV23+PR122	dioxazine violet + quinacridone magenta	permanent violet reddish	MaimeriBlu	465	2	2	64	0	3	4	339	-1	5	6
PV29	perylene violet (1936)	perylene violet	Winsor & Newton	470	3	3	70	1	2	3	30	-21	.	.
PV32	benzimidazolone bordeaux (1960)	bordeaux	Daniel Smith	8	3	4	55	1	1	1	7	-9	6	7
PV37	dioxazine violet (1952)	dioxazine purple	M. Graham	100	2	4	66	0	2	3	312	2	6	7
PV39	triphenylmethane violet	blue violet	Sennelier	903	0	4	70	0	2	4	300	-3	5	5
PV42	quinacridone pink (1958)	magenta	Schmincke	352	4	3	52	2	2	1	8	-8	6	7
PV42	quinacridone pink (1958)	quinacridone pink	Daniel Smith	13	3	4	55	1	2	1	16	-20	7	7
PV49	cobalt ammonium phosphate (1859)	cobalt violet	Daniel Smith	88	4	0	39	2	3	1	329	7	8	8
PV49	cobalt ammonium phosphate (1859)	cobalt violet light	Utrecht	177	3	0	37	4	1	0	329	9	8	8
PV7+PV15	anthraquinone violet + ultramarine violet	bright violet	Holbein	375	3	2	63	1	3	0	329	-3	2	3
PW4	zinc oxide (1782; 1834)	chinese white	Winsor & Newton	11	1	2	1	0	2	1	85	5	8	8
PW4	zinc oxide (1782; 1834)	chinese white	Daniel Smith	11	1	2	1	0	2	1	85	5	8	8
PW4	zinc oxide (1782; 1834)	chinese white	MaimeriBlu	216	1	2	1	0	2	1	85	0	8	8
PW4	zinc oxide (1782; 1834)	permanent chinese white	Schmincke	102	1	2	1	0	2	1	90	0	8	8
PW4	zinc oxide (1782; 1834)	chinese white	Rembrandt	11	1	2	1	0	2	1	90	0	8	8
PW4+PW6	zinc oxide + titanium oxide	chinese white	Rowney Artists	1	1	2	1	0	2	1	85	5	8	8
PW6	titanium dioxide (1791)	buff titanium white	Daniel Smith	15	2	0	15	0	3	2	75	8	7	6
PW6	titanium dioxide (1791)	titanium white (opaque white)	Winsor & Newton	206	2	2	0	0	2	2	90	0	8	8
PW6	titanium dioxide (1791)	titanium white	Rowney Artists	9	2	2	0	0	2	2	90	-5	8	8
PW6	titanium dioxide (1791)	titanium-opaque white	Schmincke	101	1	2	0	0	2	1	90	0	8	8
PW6	titanium dioxide (1791)	chinese white [hue]	Holbein	715	1	2	0	0	2	1	90	0	8	8
PW6	titanium dioxide (1791)	titanium white (opaque)	Holbein	203	2	2	0	0	2	2	90	0	8	8
PY1	arylide yellow G (1909)	blockx yellow - [discontinued in 2008]	Blockx	212	1	3	12	0	0	1	82	5	6	5
PY1	arylide yellow G (1909)	helio genuine yellow light - [discontinued in 2005]	Lukas	1045	1	3	12	0	0	1	82	5	4	6
PY108	anthrapyrimidine yellow	indian yellow [hue]	Daniel Smith	24	3	2	17	1	3	1	68	19	7	7
PY108	anthrapyrimidine yellow	gamboge modern	Schmincke	210	2	3	21	0	4	2	71	15	7	6
PY110	isoindolinone yellow R (1964)	permanent yellow deep	Daniel Smith	133	3	2	22	0	3	1	60	7	8	8
PY110	isoindolinone yellow R (1964)	gamboge [hue] - [discontinued 2001]	M. Graham	105	4	2	18	0	4	3	71	11	7	8
PY117	azomethine copper complex (1972)	greenish yellow	Holbein	46	2	2	30	2	3	3	88	6	3	6
PY119	zinc magnesium ferrite	magnesium brown	Winsor & Newton	381	1	3	50	2	3	2	50	3	8	8
PY119	zinc magnesium ferrite	mars yellow	Holbein	328	0	1	45	1	2	2	55	8	8	8
PY120	benzimidiazolone yellow (1960)	scheveningen yellow medium	Old Holland	14	3	3	13	0	1	3	82	9	3	6
PY129	azomethine copper complex (1972)	golden green	Old Holland	295	3	1	39	1	3	0	82	9	7	8
PY129	azomethine copper complex (1972)	green gold	Rowney Artists	373	3	1	35	1	3	0	85	5	7	8
PY129	azomethine copper complex (1972)	green gold	Winsor & Newton	217	3	4	30	1	2	2	87	6	7	8
PY138	quinophthalone yellow (1973)	permanent yellow	Rowney Artists	14	3	3	11	0	1	3	87	9	7	7
PY139	isoindoline yellow (1964)	permanent yellow deep	MaimeriBlu	114	3	3	20	0	3	4	68	5	8	8
PY139+PO49	isoindoline yellow + quinacridone deep gold	indian yellow [hue] - [discontinued 2005]	MaimeriBlu	98	3	3	24	0	2	4	68	4	8	8
PY150	nickel azomethine yellow (1970)	nickel azo yellow	Daniel Smith	108	3	2	25	1	3	1	66	20	8	7
PY150	nickel azomethine yellow (1970)	translucent yellow	Schmincke	209	3	2	21	1	2	2	77	12	7	8
PY150	nickel azomethine yellow (1970)	transparent yellow	Winsor & Newton	653	4	3	22	1	4	2	78	12	.	.
PY150+ - PR206+PV19	nickel azomethine yellow + quinacridone maroon + quinacridone violet	quinacridone gold [hue]	Winsor & Newton	547	3	3	42	2	4	2	62	30	.	.
PY150+PO48	nickel azomethine yellow + quinacridone gold	gamboge [hue]	Rembrandt	238	3	2	31	1	2	2	72	17	8	8
PY151	benzimidazolone yellow (1960)	aureolin modern	Schmincke	208	2	4	11	0	3	1	85	10	7	7
PY151	benzimidazolone yellow (1960)	azo yellow (aureolin [hue])	M. Graham	18	3	3	7	0	3	4	89	7	7	8
PY153	nickel dioxine yellow (1963)	new gamboge	Daniel Smith	20	3	1	22	0	4	1	66	16	8	8
PY153	nickel dioxine yellow (1963)	indian yellow [hue]	Rowney Artists	643	3	1	24	1	3	1	67	13	8	8
PY153	nickel dioxine yellow (1963)	indian yellow [hue]	Utrecht	129	4	0	17	0	3	2	70	17	7	8
PY153	nickel dioxine yellow (1963)	new gamboge	Winsor & Newton	319	3	4	14	0	2	2	71	13	8	8
PY153	nickel dioxine yellow (1963)	indian yellow [hue]	Sennelier	517	4	4	16	2	1	2	74	10	8	8
PY153+PO62		indian yellow [hue]	Winsor & Newton	267	2	2	21	0	3	1	66	16	7	8
PY154	benzimidazolone yellow H3G (1960)	azo yellow light	Rembrandt	268	3	3	11	0	0	0	83	9	8	7
PY154	benzimidazolone yellow H3G (1960)	sennelier yellow light	Sennelier	578	3	3	11	0	0	0	84	8	8	8
PY154	benzimidazolone yellow H3G (1960)	winsor yellow	Winsor & Newton	58	3	4	9	0	1	3	87	10	8	8
PY154+PO43	benzimidazolone yellow + perinone orange	azo yellow deep	Rembrandt	268	3	3	21	0	0	0	67	9	7	7
PY154+PO48	benzimidazolone yellow + quinacridone gold	indian yellow [hue]	Rembrandt	244	3	3	21	0	0	0	73	15	8	7
PY154+PO62	benzimidazolone yellow + benzimidazolone orange	azo yellow medium	Rembrandt	268	3	3	15	0	0	0	71	15	8	7
PY159	zirconium praesodymium silicate	lemon yellow deep	Winsor & Newton	348	2	1	9	2	1	1	90	5	.	.
PY175	benzimidazolone yellow H6G (1960)	winsor lemon	Winsor & Newton	211	3	4	8	0	1	2	94	6	7	8
PY175	benzimidazolone yellow H6G (1960)	permanent yellow lemon	MaimeriBlu	112	4	3	5	0	1	4	96	3	7	8
PY184	bismuth vanadate (1924)	bismuth yellow	Rowney Artists	629	1	3	6	0	1	1	93	5	8	8
PY184	bismuth vanadate (1924)	permanent lemon yellow	Rembrandt	254	1	3	8	0	1	1	93	5	6	4
PY184	bismuth vanadate (1924)	bismuth yellow	Winsor & Newton	222	2	4	6	0	1	1	94	3	8	8
PY184	bismuth vanadate (1924)	vanadium yellow	Schmincke	207	1	3	7	0	1	1	94	4	7	8
PY216	titanium zinc antimony stannate	turner's yellow [hue]	Winsor & Newton	649	2	2	16	0	3	2	79	11	.	.
PY3	arylide yellow 10G (1909)	lemon yellow	Rowney Artists	651	2	3	8	0	2	1	93	2	3	7
PY3	arylide yellow 10G (1909)	hansa yellow light	Daniel Smith	70	3	4	7	0	3	2	94	4	6	6
PY3	arylide yellow 10G (1909)	lemon yellow	Schmincke	215	2	3	6	0	2	2	95	4	7	6
PY3	arylide yellow 10G (1909)	lemon yellow	Sennelier	501	3	2	5	0	0	1	96	2	6	7
PY3	arylide yellow 10G (1909)	hansa yellow light	DaVinci	242	2	3	4	0	3	2	97	3	7	6
PY3	arylide yellow 10G (1909)	helio genuine yellow lemon	Lukas	1044	2	3	4	0	3	2	97	3	7	6
PY3	arylide yellow 10G (1909)	lemon yellow	Utrecht	122	4	2	4	0	3	0	97	3	5	6
PY3	arylide yellow 10G (1909)	lemon yellow	Art Spectrum	W12	2	3	4	0	3	2	97	3	6	5
PY3+PY42		aureolin [hue]	Holbein	215	3	1	9	0	4	3	87	5	7	7
PY34	lead chromate (1797)	chrome yellow deep - [discontinued]	Winsor & Newton	 -	2	4	11	0	1	3	79	7	6	4
PY34:1	lead chromate + lead sulfate	chrome lemon yellow - [discontinued]	Winsor & Newton	 -	2	4	8	0	1	2	91	4	5	4
PY35	cadmium zinc sulfide (1844)	cadmium yellow deep	MaimeriBlu	84	1	4	23	1	2	1	62	11	8	7
PY35	cadmium zinc sulfide (1844)	cadmium yellow deep	Rowney Artists	613	2	2	19	0	0	1	68	12	8	7
PY35	cadmium zinc sulfide (1844)	cadmium medium	Blockx	315	1	3	13	0	3	1	74	7	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow	M. Graham	60	2	4	13	0	3	2	79	7	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow medium	Rembrandt	271	1	3	13	0	2	2	80	2	8	7
PY35	cadmium zinc sulfide (1844)	cadmium yellow deep	Lukas	1028	1	3	13	0	2	2	80	2	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow pale	Winsor & Newton	87	2	4	12	0	2	1	81	6	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow medium	DaVinci	216	2	3	9	0	2	2	84	5	8	7
PY35	cadmium zinc sulfide (1844)	cadmium yellow	Rowney Artists	612	2	3	10	0	0	1	85	8	8	6
PY35	cadmium zinc sulfide (1844)	cadmium yellow light	DaVinci	217	2	3	8	0	2	2	88	6	8	7
PY35	cadmium zinc sulfide (1844)	cadmium yellow light	Rembrandt	208	2	3	8	0	1	2	88	4	8	7
PY35	cadmium zinc sulfide (1844)	cadmium yellow light	M. Graham	70	1	4	7	0	1	3	90	3	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow pale	Rowney Artists	611	2	3	7	0	1	1	90	6	8	7
PY35	cadmium zinc sulfide (1844)	cadmium lemon	Winsor & Newton	80	1	4	7	0	1	2	91	0	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow light	MaimeriBlu	81	2	3	8	0	2	1	91	6	7	5
PY35	cadmium zinc sulfide (1844)	cadmium yellow lemon	Rembrandt	207	2	3	5	0	1	2	93	3	8	8
PY35	cadmium zinc sulfide (1844)	cadmium pale	Blockx	311	1	2	5	0	3	3	93	5	8	8
PY35	cadmium zinc sulfide (1844)	cadmium yellow lemon	MaimeriBlu	82	1	3	5	0	2	2	95	4	8	7
PY35	cadmium zinc sulfide (1844)	cadmium yellow lemon	DaVinci	218	1	3	3	0	1	3	99	3	7	7
PY35:1	cadmium zinc lithopone	cadmium yellow - [discontinued in 2006]	Daniel Smith	85	2	4	13	0	1	1	80	6	8	8
PY35:1	cadmium zinc lithopone	cadmium yellow light - [discontinued in 2006]	Daniel Smith	87	2	4	5	0	2	2	93	6	8	7
PY35+ - PR101+PW4	cadmium sulfide + synthetic red iron oxide + zinc oxide	naples yellow [hue]	Daniel Smith	105	3	1	28	0	3	2	60	14	6	5
PY35+ - PR101+PW4	cadmium sulfide + synthetic red iron oxide + zinc oxide	naples yellow [hue] - [discontinued in 2005]	Winsor & Newton	31	2	0	14	0	3	2	75	9	7	5
PY35+ - PR108+PW6	cadmium sulfide + cadmium sulfoselenide + zinc oxide	naples yellow [hue]	Rowney Artists	634	2	1	14	0	2	1	66	13	8	8
PY35+PO20		cadmium yellow deep	Rembrandt	210	1	3	18	0	2	2	70	5	8	8
PY35+PO20		cadmium yellow deep	DaVinci	215	2	3	18	0	2	3	72	10	8	8
PY35+PO20	cadmium zinc sulfide + cadmium sulfide	cadmium yellow	Winsor & Newton	85	1	4	17	0	2	1	74	8	8	8
PY35+PR108	cadmium zinc sulfide + cadmium sulfoselenide	cadmium orange	Winsor & Newton	89	1	3	30	0	4	1	56	10	7	8
PY35+PR108	cadmium zinc sulfide+cadmium sulfoselenide	cadmium yellow deep	Winsor & Newton	86	2	4	23	0	3	1	67	12	8	8
PY37	cadmium sulfide (1842)	cadmium yellow deep	Utrecht	128	2	3	25	0	3	1	57	5	8	8
PY37	cadmium sulfide (1842)	cadmium yellow light	Holbein	42	2	2	10	0	1	2	83	4	8	8
PY37	cadmium sulfide (1842)	cadmium yellow light	Utrecht	126	2	2	10	0	2	1	83	7	8	8
PY37	cadmium sulfide (1842)	cadmium yellow pale	Holbein	41	2	2	8	0	1	1	90	5	8	8
PY37	cadmium sulfide (1842)	cadmium yellow lemon	Holbein	40	2	2	5	0	0	1	96	1	8	8
PY37:1	cadmium lithopone (1842)	cadmium yellow deep - [discontinued in 2006]	Daniel Smith	86	1	4	19	0	3	1	67	12	8	8
PY37+PO20	cadmium sulfide + cadmium sulfoselenide	cadmium yellow deep	Holbein	43	2	2	20	0	2	0	70	11	8	8
PY37+PY42 - +PW4	cadmium sulfide + synthetic yellow iron oxide + zinc oxide	naples yellow [hue]	Blockx	115	2	1	13	0	2	2	73	8	8	8
PY37+PY42 - +PW4	cadmium sulfide + synthetic yellow iron oxide + zinc oxide	naples yellow [hue]	Holbein	230	3	1	13	0	1	2	86	0	7	8
PY40	potassium cobaltinitrite - (1848; 1861)	aureolin	Rembrandt	242	2	2	18	0	1	2	84	5	5	7
PY40	potassium cobaltinitrite - (1848; 1861)	aureolin	Art Spectrum	W32	2	2	16	0	1	2	84	5	4	6
PY40	potassium cobaltinitrite - (1848; 1861)	aureolin	Winsor & Newton	63	4	2	16	1	4	0	85	9	4	4
PY40	potassium cobaltinitrite - (1848; 1861)	aureolin [cobalt yellow]	Daniel Smith	63	3	1	11	0	2	2	86	8	3	5
PY40	potassium cobaltinitrite - (1848; 1861)	aureolin	Rowney Artists	601	2	2	15	0	2	2	87	5	4	7
PY40	potassium cobaltinitrite - (1848; 1861)	aureolin	Sennelier	559	1	2	12	0	3	2	88	5	4	6
PY42	synthetic yellow iron oxide (19th century)	gold ochre	Winsor & Newton	59	2	3	39	0	2	2	56	9	8	8
PY42	synthetic yellow iron oxide (19th century)	transparent yellow oxide	Daniel Smith	121	4	1	43	1	3	2	61	10	8	6
PY42	synthetic yellow iron oxide (19th century)	mars yellow	Daniel Smith	60	1	1	38	0	3	1	64	7	8	8
PY42	synthetic yellow iron oxide (19th century)	transparent yellow oxide	Rembrandt	265	1	3	34	0	2	3	65	9	8	6
PY42	synthetic yellow iron oxide (19th century)	mars yellow	Old Holland	319	2	0	33	0	3	2	66	9	8	8
PY42	synthetic yellow iron oxide (19th century)	yellow ochre	MaimeriBlu	131	1	3	38	0	2	3	68	5	8	8
PY42	synthetic yellow iron oxide (19th century)	raw sienna	Lukas	1039	1	3	38	0	2	3	68	5	8	8
PY42	synthetic yellow iron oxide (19th century)	burnt sienna	Lukas	1109	1	3	38	0	2	3	68	5	8	8
PY42	synthetic yellow iron oxide (19th century)	yellow ochre	Rowney Artists	663	1	3	30	0	2	3	69	7	8	8
PY42+PR101	synthetic yellow iron oxide + calcinated synthetic red iron oxide	raw sienna	Rowney Artists	667	3	0	45	0	2	1	63	8	8	8
PY42+PR101	synthetic yellow iron oxide + calcinated synthetic red iron oxide	raw sienna	Winsor & Newton	40	3	0	19	0	2	1	73	8	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	italian deep ochre	Daniel Smith	135	4	1	37	0	2	2	55	7	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	gold ochre	Rembrandt	231	1	3	38	1	2	1	59	9	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre	Daniel Smith	59	2	1	29	1	2	2	66	7	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre	DaVinci	292	1	1	32	1	2	0	66	12	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	raw sienna	Rembrandt	234	1	3	26	1	2	1	66	11	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre	M. Graham	200	1	3	36	1	2	1	68	7	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre	Blockx	111	2	2	32	0	2	1	68	6	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre	Winsor & Newton	216	3	2	25	0	2	2	69	10	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	french ochre	Daniel Smith	134	3	1	27	0	2	3	69	5	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre	Utrecht	181	2	1	25	0	1	0	69	8	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	verona gold ochre	Daniel Smith	123	3	1	26	1	2	2	72	7	8	8
PY43	natural yellow iron oxide [limonite] (antiquity)	yellow ochre light	Winsor & Newton	745	3	0	19	3	4	2	76	5	.	.
PY43+PY42	natural yellow iron oxide + synthetic yellow iron oxide	yellow ochre	Rembrandt	227	1	3	31	1	2	1	68	6	8	8
PY53	nickel titanium oxide (1963)	nickel titanium yellow - [discontinued in 2005]	Winsor & Newton	224	2	4	14	1	0	1	84	9	8	6
PY53	nickel titanium oxide (1963)	lemon yellow	Winsor & Newton	70	1	4	9	1	0	1	94	3	8	8
PY53	nickel titanium oxide (1963)	nickel titanate yellow	Daniel Smith	61	2	1	8	0	1	2	95	2	8	8
PY53	nickel titanium oxide (1963)	nickel titanate yellow	Rowney Artists	637	2	2	5	0	1	1	96	3	8	8
PY53	nickel titanium oxide (1963)	nickel titanate yellow	MaimeriBlu	109	1	3	6	0	2	2	96	4	8	8
PY53+PY55	nickel titanium oxide + diarylide yellow (1952)	permanent yellow deep	Holbein	123	2	0	16	0	3	1	71	10	2	4
PY65	arylide yellow 3RN (1952)	hansa yellow deep	Daniel Smith	31	3	4	16	0	4	1	71	8	7	8
PY65	arylide yellow 3RN (1952)	hansa yellow deep	Utrecht	123	2	0	16	0	3	1	71	16	7	8
PY65	arylide yellow 3RN (1952)	winsor yellow deep	Winsor & Newton	214	2	4	16	0	3	1	73	6	8	8
PY83	diarylide yellow HR (1940)	scheveningen yellow deep	Old Holland	15	2	2	21	0	3	2	70	8	7	8
PY83+PY95	diarylide yellow HR + arylide yellow FG	indian yellow [hue]	Holbein	245	2	1	22	0	4	0	73	12	3	6
PY97	arylide yellow FGL (1953)	hansa yellow medium	Daniel Smith	39	2	3	10	0	2	2	85	7	7	7
PY97	arylide yellow FGL (1953)	transparent yellow - [discontinued in 2005]	Winsor & Newton	219	3	4	9	0	3	1	87	9	6	7
PY97	arylide yellow FGL (1953)	arylide yellow FGL	DaVinci	203	3	3	7	0	1	2	88	4	6	7
PY97	arylide yellow FGL (1953)	primary yellow	MaimeriBlu	116	3	3	8	0	3	4	89	7	6	7
PY97+PG36	arylide yellow FGL + chlorobrominated copper phthalocyanine	permanent green yellowish	MaimeriBlu	338	4	2	7	0	3	4	94	3	7	7
PY97+PY42 - +PW4	arylide yellow FGL + synthetic yellow iron oxide + zinc oxide	naples yellow light [hue]	MaimeriBlu	105	2	0	10	0	1	2	89	7	2	4
